grammy_year,category,work_title,artist,winner,match_type,wasabi_title,wasabi_artist,wasabi_album,genre,album_genre,bpm,gain,publication_date,language,decade
1960,Album Of The Year,Nice 'N Easy (Album),Frank Sinatra,False,song,Nice 'N' Easy,Frank Sinatra,Nice 'N' Easy,,Classic Pop,108.0,-18.6,2000-03-02,eng,1960s
1960,Album Of The Year,Belafonte Returns To Carnegie Hall (Album),Harry Belafonte,False,album,"Jump Down, Spin Around",Harry Belafonte,Belafonte Returns To Carnegie Hall,,Folk,137.0,-15.6,2016-03-11,,1960s
1960,Album Of The Year,Wild Is Love (Album),"Nat ""King"" Cole",False,song,Wild Is Love,Nat King Cole,Wild Is Love,,,164.7,-11.4,2008-06-24,eng,1960s
1960,"Best Vocal Performance Single Record Or Track, Female",I'm Sorry (Single),Brenda Lee,False,song,I'm Sorry,Brenda Lee,Brenda Lee,"[""Pop music"",""Country music""]",Pop,103.6,-12.8,2012-01-11,,1960s
1960,"Best Vocal Performance Single Record Or Track, Female",I'm Gonna Go Fishin' (Album),Peggy Lee,False,song,I'm Gonna Go Fishin',Peggy Lee,Capitol Years,,Vocal,126.0,-18.1,2003-03-03,,1960s
1960,"Best Vocal Performance Album, Female",Latin Ala Lee (Album),Peggy Lee,False,album,Heart,Peggy Lee,Latin Ala Lee!,,,145.6,-17.0,2003-03-03,,1960s
1960,"Best Vocal Performance Single Record Or Track, Female",Mack The Knife,Ella Fitzgerald,True,song,Mack The Knife,Ella Fitzgerald,Ken Burns's Jazz: Ella Fitzgerald,,,140.0,-18.2,2007-09-10,eng,1960s
1960,"Best Vocal Performance Single Record Or Track, Male",Are You Lonesome Tonight? (Single),Elvis Presley,False,song,Are You Lonesome Tonight?,Elvis Presley,"Elvis' Gold Records, Vol. 3","[""Pop music""]",Rock &apos;N&apos; Roll,74.0,-12.9,2007-02-24,eng,1960s
1960,"Best Vocal Performance Album, Male",G.I. Blues (Album),Elvis Presley,False,song,G.I. Blues,Elvis Presley,G.I. Blues,,Rock &apos;N&apos; Roll,147.1,-15.2,0000-00-00,eng,1960s
1960,"Best Vocal Performance Album, Male",Nice 'N Easy (Album),Frank Sinatra,False,song,Nice 'N' Easy,Frank Sinatra,Nice 'N' Easy,,Classic Pop,108.0,-18.6,2000-03-02,eng,1960s
1960,"Best Vocal Performance Single Record Or Track, Male",Nice 'N Easy (Single),Frank Sinatra,False,song,Nice 'N' Easy,Frank Sinatra,Nice 'N' Easy,,Classic Pop,108.0,-18.6,2000-03-02,eng,1960s
1960,"Best Vocal Performance Album, Male",Belafonte Returns To Carnegie Hall,Harry Belafonte,False,album,"Jump Down, Spin Around",Harry Belafonte,Belafonte Returns To Carnegie Hall,,Folk,137.0,-15.6,2016-03-11,,1960s
1960,"Best Vocal Performance Single Record Or Track, Male",He'll Have To Go (Single),Jim Reeves,False,song,He'll Have To Go,Jim Reeves,He'll Have To Go (RCA),"[""Country music"",""Popular music""]",,,,2008-01-10,,1960s
1960,"Best Vocal Performance Single Record Or Track, Male",Misty (Single),Johnny Mathis,False,song,Misty,Johnny Mathis,Heavenly,,Vocal,128.0,-15.7,2007-08-21,,1960s
1960,"Best Vocal Performance Album, Male",Wild Is Love (Album),"Nat ""King"" Cole",False,song,Wild Is Love,Nat King Cole,Wild Is Love,,,164.7,-11.4,2008-06-24,eng,1960s
1960,"Best Vocal Performance Single Record Or Track, Male",Georgia On My Mind,Ray Charles,True,song,Georgia On My Mind,Ray Charles,The Genius Hits The Road,"[""Soul music"",""Blues"",""Traditional pop music"",""Jazz""]",R&amp;B,130.0,-12.2,2006-03-04,eng,1960s
1960,"Best Vocal Performance Album, Male",The Genius Of Ray Charles,Ray Charles,True,album,Let The Good Times Roll,Ray Charles,The Genius Of Ray Charles,"[""Jump blues""]",R&amp;B,104.4,-11.3,2011-07-10,eng,1960s
1960,Best Performance By A Vocal Group (2 To 6),Greenfields,The Brothers Four,False,song,Greenfields,The Brothers Four,The Brothers Four,,Folk,125.0,-14.9,2006-10-16,,1960s
1960,Best Performance By A Vocal Group (2 To 6),Here We Go Again,The Kingston Trio,False,album,Molly Dee,The Kingston Trio,Here We Go Again!,,Folk,,,2010-01-01,,1960s
1960,Best Performance By An Orchestra,Theme From A Summer Place (Single),Percy Faith,False,song,Theme From A Summer Place,Percy Faith,Other Songs,"[""Easy listening""]",,185.0,-14.9,2007-12-10,,1960s
1960,Best Performance By A Pop Single Artist,Mack The Knife (Single),Ella Fitzgerald,False,song,Mack The Knife,Ella Fitzgerald,Ken Burns's Jazz: Ella Fitzgerald,,,140.0,-18.2,2007-09-10,eng,1960s
1960,Best Performance By A Pop Single Artist,Are You Lonesome Tonight? (Single),Elvis Presley,False,song,Are You Lonesome Tonight?,Elvis Presley,"Elvis' Gold Records, Vol. 3","[""Pop music""]",Rock &apos;N&apos; Roll,74.0,-12.9,2007-02-24,eng,1960s
1960,Best Performance By A Pop Single Artist,Nice 'N Easy (Single),Frank Sinatra,False,song,Nice 'N' Easy,Frank Sinatra,Nice 'N' Easy,,Classic Pop,108.0,-18.6,2000-03-02,eng,1960s
1960,Best Performance By A Pop Single Artist,Heart (Single),Peggy Lee,False,song,Heart,Peggy Lee,Latin Ala Lee!,,,145.6,-17.0,2003-03-03,,1960s
1960,Best Performance By A Pop Single Artist,Georgia On My Mind,Ray Charles,True,song,Georgia On My Mind,Ray Charles,The Genius Hits The Road,"[""Soul music"",""Blues"",""Traditional pop music"",""Jazz""]",R&amp;B,130.0,-12.2,2006-03-04,eng,1960s
1960,Best Country & Western Performance,Wings Of A Dove,Ferlin Husky,False,song,Wings Of A Dove,Ferlin Husky,The Hits Of Ferlin Husky,,Country,177.4,-18.3,2008-07-01,,1960s
1960,Best Country & Western Performance,"Please Help Me, I'm Falling (Album)",Hank Locklin,False,song,"Please Help Me, I'm Falling",Hank Locklin,"Please Help Me, I'm Falling","[""Country music""]",Country,,,2010-10-26,eng,1960s
1960,Best Country & Western Performance,He'll Have To Go (Single),Jim Reeves,False,song,He'll Have To Go,Jim Reeves,He'll Have To Go (RCA),"[""Country music"",""Popular music""]",,,,2008-01-10,,1960s
1960,Best Country & Western Performance,North To Alaska,Johnny Horton,False,song,North To Alaska,Johnny Horton,American Originals,"[""Country music""]",Country,166.0,-16.3,1999-08-03,,1960s
1960,Best Country & Western Performance,El Paso,Marty Robbins,True,song,El Paso,Marty Robbins,Gunfighter Ballads And Trail Songs,"[""Popular music"",""Country music""]",Country,106.0,-12.5,2005-06-28,,1960s
1960,Best Comedy Performance - Musical,The Old Payola Roll Blues (Album),Stan Freberg,False,song,The Old Payola Roll Blues,Stan Freberg,Tip Of The Freberg: The Stan Freberg Collection 1951-1998,,Comedy,148.7,-15.8,0000-00-00,,1960s
1960,Best Comedy Performance - Musical,An Evening Wasted With Tom Lehrer (Album),Tom Lehrer,False,album,Poisoning Pigeons In The Park,Tom Lehrer,An Evening Wasted With Tom Lehrer,,Comedy,,,0000-00-00,eng,1960s
1960,Best Rhythm & Blues Performance,All I Could Do Was Cry,Etta James,False,song,All I Could Do Was Cry,Etta James,At Last!,,Soul,172.0,-11.9,2009-07-14,eng,1960s
1960,Best Rhythm & Blues Performance,Finger Poppin' Time,Hank Ballard,False,song,Finger Poppin Time,Hank Ballard,Other Songs,,,160.2,-13.0,2011-02-02,,1960s
1960,Best Rhythm & Blues Performance,Lonely Teardrops,Jackie Wilson,False,song,Lonely Teardrops,Jackie Wilson,The Very Best Of Jackie Wilson,"[""Rock and roll""]",R&amp;B,138.0,-11.3,2009-04-03,,1960s
1960,Best Rhythm & Blues Performance,Travelin',John Lee Hooker,False,album,No Shoes,John Lee Hooker,Travelin',,Blues,101.3,-15.3,2007-10-31,eng,1960s
1960,Best Rhythm & Blues Performance,Got My Mojo Working,Muddy Waters,False,song,Got My Mojo Working,Muddy Waters,"Breakin' It Up, Breakin' It Down","[""Blues""]",Blues,114.0,-11.1,2008-05-20,eng,1960s
1960,Best Rhythm & Blues Performance,Let The Good Times Roll,Ray Charles,True,song,Let The Good Times Roll,Ray Charles,The Genius Of Ray Charles,"[""Jump blues""]",R&amp;B,104.4,-11.3,2011-07-10,eng,1960s
1961,Best Folk Recording,The Slightly Fabulous Limeliters,The Limeliters,False,album,Western Wind,The Limeliters,The Slightly Fabulous Limeliters,,Folk,,,2013-04-02,,1960s
1961,Record Of The Year,The Second Time Around (Single),Frank Sinatra,False,song,The Second Time Around,Frank Sinatra,Ring-A-Ding Ding!,,Classic Pop,131.2,-18.9,2012-01-02,eng,1960s
1961,Record Of The Year,Big Bad John (Single),Jimmy Dean,False,song,Big Bad John,Jimmy Dean,Big Dad John,"[""Country music"",""Pop music""]",,86.0,-18.2,2007-12-10,,1960s
1961,Record Of The Year,Moon River,Henry Mancini,True,song,Moon River,Henry Mancini,Other Songs,"[""Easy listening""]",,92.0,-13.7,2004-03-11,,1960s
1961,Album Of The Year (Other Than Classical),Judy At Carnegie Hall,Judy Garland,True,album,Overture: The Trolley Song/Over The Rainbow/The Man That Got Away,Judy Garland,Judy At Carnegie Hall,,Vocal Jazz,143.0,-17.4,2010-12-03,,1960s
1961,Best Gospel Or Other Religious Recording,Everytime I Feel The Spirit,Mahalia Jackson,True,album,Little David Play On Your Harp,Mahalia Jackson,Everytime I Feel The Spirit,,,,,2013-11-15,,1960s
1961,"Best Solo Vocal Performance, Female",Mr. Paganini (Album),Ella Fitzgerald,False,song,Mr. Paganini,Ella Fitzgerald,Ultimate Ella Fitzgerald,,,99.0,-13.8,2014-10-06,,1960s
1961,"Best Solo Vocal Performance, Female",Judy At Carnegie Hall,Judy Garland,True,album,Overture: The Trolley Song/Over The Rainbow/The Man That Got Away,Judy Garland,Judy At Carnegie Hall,,Vocal Jazz,143.0,-17.4,2010-12-03,,1960s
1961,"Best Solo Vocal Performance, Male",Danny Boy (Single),Andy Williams,False,song,Danny Boy,Andy Williams,16 Most Requested Songs,"[""Folk music""]",Easy Listening,132.0,-14.7,2006-08-29,,1960s
1961,"Best Solo Vocal Performance, Male",A Little Bitty Tear (Single),Burl Ives,False,song,A Little Bitty Tear,Burl Ives,Little Bitty Tear,,,,,2012-01-24,eng,1960s
1961,"Best Solo Vocal Performance, Male",Big Bad John (Single),Jimmy Dean,False,song,Big Bad John,Jimmy Dean,Big Dad John,"[""Country music"",""Pop music""]",,86.0,-18.2,2007-12-10,,1960s
1961,"Best Solo Vocal Performance, Male",Portrait Of My Love (Single),Steve Lawrence,False,song,Portrait Of My Love (Rare),Steve Lawrence,Other Songs,,,,,,,1960s
1961,"Best Solo Vocal Performance, Male",Lollipops And Roses,Jack Jones,True,song,Lollipops And Roses,Jack Jones,Other Songs,,,105.2,-18.1,2012-01-29,,1960s
1961,Best Performance By A Vocal Group,Close Up,The Kingston Trio,False,album,Coming From The Mountains,The Kingston Trio,Close Up,,Folk,127.2,-10.9,2011-07-20,,1960s
1961,Best Performance By A Vocal Group,The Way You Look Tonight,The Lettermen,False,song,The Way You Look Tonight,The Lettermen,A Song For Young Love,,,101.0,-15.9,1993-03-29,,1960s
1961,Best Performance By A Vocal Group,The Slightly Fabulous Limeliters (Album),The Limeliters,False,album,Western Wind,The Limeliters,The Slightly Fabulous Limeliters,,Folk,,,2013-04-02,,1960s
1961,Best Performance By An Orchestra - For Dancing,Calcutta,Lawrence Welk,False,song,Calcutta,Lawrence Welk,Other Songs,"[""Easy listening""]",,164.7,-14.4,2011-11-07,,1960s
1961,Best Rock & Roll Recording,I Like It Like That (Single),Chris Kenner,False,song,I Like It Like That,Chris Kenner,Other Songs,,,145.0,-15.8,2005-02-08,eng,1960s
1961,Best Rock & Roll Recording,It's Gonna Work Out Fine,Ike & Tina Turner,False,song,It's Gonna Work Out Fine,Ike & Tina Turner,River Deep-Mountain High,"[""Rhythm and blues"",""Rock and roll""]",Soul,,-17.1,2006-08-24,,1960s
1961,Best Rock & Roll Recording,Goodbye Cruel World,James Darren,False,song,Goodbye Cruel World,James Darren,Best Of James Darren,[],,,,2014-11-13,,1960s
1961,Best Rock & Roll Recording,The Lion Sleeps Tonight,The Tokens,False,song,The Lion Sleeps Tonight,The Tokens,The Lion Sleeps Tonight,"[""Doo-wop"",""Rhythm and blues"",""World music"",""Pop music""]",,121.6,-12.9,2008-07-01,eng,1960s
1961,Best Rock & Roll Recording,Let's Twist Again,Chubby Checker,True,song,Let's Twist Again,Chubby Checker,Let's Twist Again,,Rock &apos;N&apos; Roll,162.1,-9.1,2003-01-01,,1960s
1961,Best Country & Western Recording,A Little Bitty Tear,Burl Ives,False,song,A Little Bitty Tear,Burl Ives,Little Bitty Tear,,,,,2012-01-24,eng,1960s
1961,Best Country & Western Recording,Hello Walls,Faron Young,False,song,Hello Walls,Faron Young,Hello Walls,"[""Country music""]",Country,103.0,-11.4,2009-02-01,,1960s
1961,Best Country & Western Recording,Walk On By,LeRoy Van Dyke,False,song,Walk On By,Leroy Van Dyke,Walk On By,"[""Country music""]",Country,135.1,-14.0,0000-00-00,,1960s
1961,Best Country & Western Recording,Hillbilly Heaven,Tex Ritter,False,song,(I Dreamed Of A) Hill-Billy Heaven,Tex Ritter,Other Songs,,,,,2008-09-02,,1960s
1961,Best Country & Western Recording,Big Bad John,Jimmy Dean,True,song,Big Bad John,Jimmy Dean,Big Dad John,"[""Country music"",""Pop music""]",,86.0,-18.2,2007-12-10,,1960s
1961,Best Comedy Performance,Stan Freberg Presents The United States Of America (Album),Stan Freberg,False,album,Overture,Stan Freberg,Stan Freberg Presents The United States Of America,,Comedy,84.0,,2008-03-11,,1960s
1961,Best Rhythm & Blues Recording,Mother In Law,Ernie K-Doe,False,song,Mother In Law,Ernie K-Doe,Other Songs,,,130.0,-16.0,2006-05-09,,1960s
1961,Best Rhythm & Blues Recording,Fool That I Am,Etta James,False,song,Fool That I Am,Etta James,The Essential,,,102.0,-14.3,2007-06-11,,1960s
1961,Best Rhythm & Blues Recording,"Bright Lights, Big City",Jimmy Reed,False,song,"Bright Lights, Big City",Jimmy Reed,Lost In The Shuffle,"[""Country music"",""Blues""]",Blues,92.1,-10.8,2005-03-22,,1960s
1961,Best Rhythm & Blues Recording,Hit The Road Jack,Ray Charles,True,song,Hit The Road Jack,Ray Charles,Greatest Hits,"[""Rhythm and blues""]",Soul,85.0,-14.3,0000-00-00,eng,1960s
1962,Best Recording For Children,Through Children's Eyes,The Limeliters,False,album,This Train,The Limeliters,Through Children's Eyes,,Folk,,,0000-00-00,,1960s
1962,Best Folk Recording,Bob Dylan,Bob Dylan,False,album,You're No Good,Bob Dylan,Bob Dylan,,Folk,,,,,1960s
1962,Best Folk Recording,Joan Baez In Concert (Album),Joan Baez,False,album,"Babe, I'm Gonna Leave You",Joan Baez,Joan Baez In Concert,"[""Hard rock"",""Folk rock""]",Folk,187.0,-18.4,2006-01-01,eng,1960s
1962,Best Folk Recording,Something Special,The Kingston Trio,False,album,Brown Mountain Light,The Kingston Trio,Something Special,,Folk,,,2013-03-18,,1960s
1962,Record Of The Year,Ramblin' Rose (Single),"Nat ""King"" Cole",False,song,Ramblin' Rose,Nat King Cole,Let's Fall In Love,[],,96.0,-15.3,2005-01-25,,1960s
1962,Record Of The Year,I Can't Stop Loving You (Single),Ray Charles,False,song,I Can't Stop Loving You,Ray Charles,Modern Sounds In Country And Western Music,"[""Southern soul"",""Celtic music"",""Rhythm and blues"",""Traditional pop music"",""Folk rock""]",R&amp;B,,,2013-01-01,eng,1960s
1962,Record Of The Year,What Kind Of Fool Am I (Single),Sammy Davis Jr.,False,song,What Kind Of Fool Am I?,"Sammy Davis, Jr.",The Definitive Collection,[],,152.0,-15.5,2008-01-01,,1960s
1962,Record Of The Year,I Left My Heart In San Francisco,Tony Bennett,True,song,I Left My Heart In San Francisco,Tony Bennett,I Left My Heart In San Francisco,"[""Traditional pop music""]",Jazz,129.2,-15.5,2014-06-01,eng,1960s
1962,Album Of The Year (Other Than Classical),"My Son, The Folk Singer (Album)",Allan Sherman,False,album,The Ballad Of Harry Lewis,Allan Sherman,"My Son, The Folk Singer",,Comedy,,,0000-00-00,,1960s
